Player,AB,H,2B,3B,HR,BB,HBP
Casey Palm (HEL),33,7,3,0,0,2,0
Derek Sutter (NEO),19,4,0,0,0,2,0
Adam Weidner (OAK),25,5,0,0,0,4,2
Reece Homan (OAK),15,3,2,0,0,3,0
Carson Seeber (HEL),10,2,0,0,0,0,1
Warren Braunschweig (CLY),10,2,1,0,0,3,0
Tucker Crabtree (NEO),5,1,0,0,0,1,0
Jordan DeBoer (NEO),5,1,0,0,0,0,0
Cade Berendt (THI),5,1,1,0,0,0,0
Derek Leckwee (MIL),5,1,0,0,0,0,0
Cade Neubur (RUB),5,1,0,0,0,0,0
Derek Handel (CED),21,4,0,1,0,5,1
John Sprtel (NEO),16,3,0,0,0,3,1
Samuel Spaude (CED),22,4,0,0,0,6,0
DJ Kojis (KEW),22,4,1,0,0,0,0
Tim Kohls (RUB),22,4,1,0,0,5,0
Tommy Sheehan (RUB),28,5,0,0,0,5,0
Nate Bacskai (THI),17,3,1,0,0,1,0
RJ Pouzar (RUB),17,3,0,0,0,6,0
Scott Buhler (OAK),29,5,0,0,0,2,0
Treston Wonser (OAK),12,2,0,0,0,2,0
Keegan Madigan (OAK),12,2,0,0,0,2,1
Brody Thimm (HUS),12,2,0,0,0,1,0
Zach Poker (ASH),6,1,0,0,0,0,0
Ty Morrison (CED),31,5,1,0,0,3,0
Dylan Immel (LEB),27,4,1,0,0,3,0
Cole Hoefler (LEB),21,3,0,0,0,5,0
Myles Zimdars (RUB),21,3,1,0,0,10,1
James Dunne (CED),14,2,1,0,0,1,0
Jim Ziegler (KEW),7,1,0,0,0,0,0
Cameron Streich (LEB),23,3,1,0,0,3,0
Tucker Tiegs (ASH),17,2,1,0,0,4,0
Nathaniel Budewitz (LEB),17,2,1,0,0,0,1
Christian Tietz (LEB),27,3,0,0,0,0,1
Justin Martin (RUB),27,3,0,0,0,2,1
Jacob Kostroski (HEL),18,2,1,0,0,3,0
Alex Dickrell (HEL),18,2,0,0,0,2,0
Casey Herr (ASH),9,1,0,0,0,0,0
Tom Herro (ASH),9,1,0,0,0,0,0
Hunter Baye (CED),9,1,0,0,0,1,0
Jeff Zielke (CLY),9,1,0,0,0,0,0
Jace Tiegs (ASH),19,2,0,0,0,3,0
Cody Guetzke (HAR),29,3,1,0,0,7,0
Mason Tait (THI),10,1,0,0,0,1,0
Brandon Calbert (MIL),12,1,0,0,0,1,0
Jack Kraemer (ASH),26,2,0,0,0,8,1
Bryce Patin (HAR),16,1,0,0,0,2,1
Patrick Daniels (CED),16,1,0,0,1,0,0
Brock Henke (SAU),16,1,0,0,0,1,0
Matt Sabel (LEB),16,1,0,0,0,1,0
Tom Gilleran (ASH),17,1,0,0,0,0,1
Daniel Comfort (HEL),17,1,0,0,0,1,0
Kenny Immel (LEB),18,1,0,0,0,4,0
Adam Zubke (LEB),25,1,0,0,0,4,1
Connor Wojciechowski (SAU),31,0,0,0,0,3,2
Jack Bourdo (ASH),23,0,0,0,0,3,1
Derek Pieper (HUS),13,0,0,0,0,2,0
Stephen Metzdorf (SAU),11,0,0,0,0,0,0
Hunter Loser (KEW),10,0,0,0,0,2,0
Brandon Ryan (ASH),9,0,0,0,0,0,0
James Sjoberg (ASH),8,0,0,0,0,0,0
Jacob Bickert (NEO),8,0,0,0,0,1,0
Blayne Essmann (ASH),6,0,0,0,0,0,0
Payton Heard (HEL),6,0,0,0,0,0,0
Hunter Frentzel (HEL),6,0,0,0,0,3,1
Hayden Sheetz (MIL),6,0,0,0,0,2,0
Mitch Flora (THI),5,0,0,0,0,2,1
Ryan Finnerty (THI),5,0,0,0,0,3,2
Colton Drew (HEL),5,0,0,0,0,0,0
Eric Rainero (SAU),5,0,0,0,0,0,0
Cole Baier (KEW),5,0,0,0,0,0,0
Camden Ryan (ASH),4,0,0,0,0,0,0
Jack Durst (THI),4,0,0,0,0,0,0
Jose Acosta (HEL),4,0,0,0,0,0,0
Garrett Daskam (MIL),4,0,0,0,0,0,0
Brady Fry (MIL),4,0,0,0,0,0,0
Jarod Emerson (MIL),4,0,0,0,0,0,0
Dylan Hoskins (MIL),4,0,0,0,0,0,0
Jorden Rauch (KEW),4,0,0,0,0,1,0
Eric Beauchamp (KEW),4,0,0,0,0,1,0
Connor Steers (RUB),4,0,0,0,0,0,0
Malvin Ortiz (RUB),4,0,0,0,0,1,0
Nate Schlosser (ASH),3,0,0,0,0,0,0
Nick Hernandez (ASH),3,0,0,0,0,8,0
Jacob DeMeyer (JOH),3,0,0,0,0,2,0
Jacob Scholer (JOH),3,0,0,0,0,1,0
Carson Rosine (NEO),3,0,0,0,0,1,0
Noah Meises (NEO),3,0,0,0,0,0,0
Tom Hartwick (SAU),3,0,0,0,0,0,0
Tony Bares (SAU),3,0,0,0,0,0,0
Tim Kelly (RUB),3,0,0,0,0,0,0
Will Schlosser (ASH),2,0,0,0,0,0,0
Quinn W (ASH),2,0,0,0,0,0,0
Joe Nord (ASH),2,0,0,0,0,0,0
Scott Sterwald (ASH),2,0,0,0,0,0,0
Matt Beyer (NEO),2,0,0,0,0,0,0
Evan Jackson (MIL),2,0,0,0,0,0,0
Dylan Davis (SAU),2,0,0,0,0,0,0
Jacob Guhlke (OAK),2,0,0,0,0,0,0
Jami Kaul (HUS),2,0,0,0,0,0,0
Nolan Fehrman (RUB),2,0,0,0,0,0,0
Mark Herold (ASH),1,0,0,0,0,0,0
Matt Finley (HAR),1,0,0,0,0,0,0
Alex Braunschweig (HAR),1,0,0,0,0,3,0
Brandon Peace (HAR),1,0,0,0,0,0,0
AJ Grumbling (JOH),1,0,0,0,0,3,1
Jorge Mares (JOH),1,0,0,0,0,0,0
Josh Steger (NEO),1,0,0,0,0,3,0
Trey Roth (NEO),1,0,0,0,0,0,0
Josh Moses (CED),1,0,0,0,0,0,1
Ayden Spykstra (CED),1,0,0,0,0,0,0
Andrew Lenti (HEL),1,0,0,0,0,0,0
Matthew Schimmel (MIL),1,0,0,0,0,0,0
Steve Klinko (SAU),1,0,0,0,0,1,0
Michael Prochnow (KEW),1,0,0,0,0,0,0
Matthew Stahmann (OAK),1,0,0,0,0,0,0
Dave Burg (RUB),1,0,0,0,0,2,0
Connor Keating (ASH),0,0,0,0,0,1,0
Daniel Janiszewski (HUS),0,0,0,0,0,1,0
Austin Massey (HUS),0,0,0,0,0,1,0
